iter	Passed	Remaining
497	18005840	54306772
498	18113553	54485859
499	18194772	54584318
500	18306760	54774121
501	18410282	54937455
502	18528645	55143900
503	18647786	55351365
504	18759637	55535957
505	18868535	55710657
506	18976779	55882311
507	19148075	56238049
508	19219284	56298533
509	19293245	56366541
510	19365359	56428612
511	19433890	56479744
512	19506026	56540861
513	19575604	56594063
514	19593306	56497203
515	19649207	56510510
516	19746104	56641146
517	19852398	56797788
518	19954185	56940556
519	20001054	56926076
520	20098153	57054067
521	20213725	57233499
522	20304428	57341568
523	20420616	57520668
524	20514778	57636759
525	20609628	57753978
526	20699773	57857240
527	20786325	57949756
528	20875320	58048385
529	20986351	58207428
530	21132189	58461744
531	21222853	58562310
532	21315825	58668509
533	21356446	58630244
534	21436057	58698735
535	21519475	58777075
536	21559533	58736681
537	21575447	58630677
538	21677792	58759284
539	21758084	58827412
540	21802035	58796985
541	21872175	58836960
542	21978324	58973148
543	22076568	59087287
544	22177958	59209045
545	22278319	59327246
546	22374164	59432653
547	22474958	59550438
548	22575324	59666293
549	22673344	59775179
550	22736998	59792941
551	22832049	59892768
552	23019423	60233463
553	23130848	60374018
554	23227276	60474621
555	23320187	60565378
556	23412124	60652954
557	23516267	60771429
558	23561703	60737772
559	23664538	60851669
560	23767300	60964608
561	23869590	61075572
562	23961380	61158975
563	24057308	61252297
564	24162986	61369708
565	24266627	61481172
566	24364063	61576196
567	24459421	61665302
568	24553497	61750536
569	24650878	61843432
570	24746385	61930972
571	24845733	62027461
572	24943869	62120246
573	25038083	62202624
574	25162629	62359560
575	25226663	62365918
576	25318202	62439865
577	25407604	62507982
578	25463024	62492154
579	25633057	62756794
580	25715196	62805272
581	25792616	62841805
582	25854658	62840567
583	25930512	62872612
584	26004841	62900599
585	26065018	62894089
586	26140187	62923482
587	26208386	62935784
588	26281501	62959589
589	26350074	62972211
590	26428087	63007063
591	26585398	63230138
592	26645078	63220279
593	26724213	63256303
594	26829691	63354145
595	26915830	63405748
596	26988494	63425222
597	27068106	63460676
598	27134688	63465272
599	27213866	63499021
600	27286483	63517121
601	27372393	63565790
602	27406281	63493492
603	27474689	63501104
604	27548509	63520943
605	27628007	63553535
606	27698009	63563966
607	27778227	63597521
608	27847532	63605775
609	27919107	63618950
610	27991220	63633069
611	28057535	63633757
612	28073261	63519762
613	28084419	63395775
614	28150694	63396279
615	28227049	63419214
616	28303441	63441911
617	28384160	63473964
618	28484213	63548786
619	28568239	63587372
620	28681533	63690555
621	28744901	63682435
622	28815534	63690193
623	28886134	63697629
624	28946070	63681354
625	29026898	63710797
626	29041821	63595567
627	29053156	63472818
628	29113697	63457677
629	29183178	63461832
630	29383775	63750219
631	29458471	63764539
632	29531073	63774055
633	29600759	63777029
634	29674955	63789472
635	29745791	63794434
636	29818625	63803432
637	29889277	63807518
638	29966064	63824435
639	30039265	63833439
640	30079547	63772394
641	30178313	63835124
642	30264594	63871002
643	30343933	63891884
644	30419305	63904121
645	30497198	63921373
646	30577059	63942443
647	30656621	63962579
648	30739480	63989273
649	30823180	64017374
650	30897450	64025592
651	30980290	64051275
652	31069550	64089869
653	31212291	64238140
654	31294953	64262155
655	31383717	64298348
656	31474547	64338381
657	31565371	64378006
658	31654996	64414796
659	31746937	64455902
660	31832129	64482936
661	31919179	64513387
662	32071172	64674446
663	32164917	64717363
664	32261554	64765678
665	32355846	64808857
666	32441315	64833993
667	32527594	64860413
668	32599944	64858782
669	32686479	64885100
670	32773053	64911160
671	32858082	64933829
672	32954952	64979526
673	33051814	65024786
674	33112196	64998016
675	33207633	65039803
676	33301329	65077782
677	33384281	65094425
678	33467395	65111088
679	33560707	65147254
680	33678894	65231220
681	33769041	65260405
682	33860178	65291149
683	33944062	65307581
684	34030894	65329382
685	34122975	65360918
686	34213211	65388568
687	34316044	65439898
688	34402041	65458746
689	34490118	65481240
690	34578300	65503611
691	34669632	65531616
692	34774609	65585013
693	34870648	65621132
694	34961133	65646445
695	35050881	65670042
696	35096033	65609945
697	35184127	65629991
698	35243908	65597032
699	35337192	65626215
700	35427021	65648645
701	35511002	65659945
702	35610475	65699554
703	35696312	65713665
704	35787821	65737912
705	35874007	65752076
706	35964445	65773731
707	36054642	65794630
708	36178230	65876015
709	36278035	65913613
710	36371797	65939869
711	36472888	65979045
712	36669920	66191005
713	36769047	66225483
714	36866461	66256507
715	36966749	66292327
716	37065975	66325866
717	37158913	66347809
718	37253597	66372542
719	37352658	66404726
720	37499397	66521121
721	37593741	66544047
722	37694706	66578341
723	37788394	66599435
724	37885213	66625719
725	37986929	66660258
726	37999219	66537836
727	38096467	66564157
728	38190075	66583793
729	38287325	66609456
730	38479788	66800070
731	38582869	66834806
732	38675136	66850475
733	38765605	66862746
734	38857028	66876382
735	38953742	66898819
736	39047770	66916328
737	39125086	66904958
738	39227383	66936036
739	39313972	66940007
740	39414075	66966695
741	39437254	66862622
742	39536512	66887478
743	39634419	66909719
744	39727533	66923563
745	39822123	66939602
746	39916842	66955560
747	40009338	66967502
748	40104881	66984254
749	40279754	67132924
750	40382188	67160257
751	40476181	67173236
752	40575114	67194113
753	40670359	67208578
754	40770390	67230643
755	40856611	67229661
756	40974123	67279834
757	40996051	67172950
758	41164644	67306091
759	41263277	67324294
760	41369059	67353830
761	41473179	67380310
762	41568229	67391743
763	41633322	67354433
764	41729679	67367521
765	41832677	67391023
766	41929751	67404671
767	42054678	67462713
768	42154564	67480192
769	42221315	67444439
770	42313967	67449890
771	42408739	67458461
772	42512372	67480829
773	42607746	67489789
774	42700429	67494226
775	42796649	67503993
776	42907581	67536643
777	43002126	67543185
778	43088161	67536129
779	43200072	67569343
780	43288536	67565589
781	43390581	67582772
782	43494274	67602212
783	43581624	67595988
784	43670488	67591902
785	43761778	67591347
786	43881345	67634145
787	43985925	67653479
788	44080670	67657404
789	44185110	67675928
790	44277141	67675175
791	44371736	67678103
792	44461392	67673267
793	44558461	67679476
794	44673856	67713203
795	44771200	67719252
796	44877045	67737873
797	44975016	67744322
798	45064836	67738259
799	45158506	67737760
800	45273732	67769294
801	45320094	67697598
802	45408844	67689148
803	45506837	67694251
804	45655928	67774950
805	45765755	67796913
806	45865764	67804035
807	45895030	67706529
808	45997912	67717569
809	46097640	67723694
810	46189940	67718666
811	46299233	67738287
812	46397051	67740837
813	46512945	67769475
814	46637280	67810033
815	46739429	67817995
816	46845033	67830690
817	46986937	67895550
818	47080364	67890001
819	47190711	67908584
820	47298796	67923607
821	47395436	67921927
822	47490425	67917655
823	47571347	67893088
824	47672554	67897275
825	47692982	67786393
826	47787637	67781013
827	47890838	67787514
828	47994464	67794351
829	48090671	67790464
830	48195818	67798930
831	48308681	67817956
832	48420593	67835332
833	48573882	67910247
834	48690280	67933145
835	48812000	67963120
836	48910287	67960172
837	49028036	67983983
838	49170656	68041873
839	49327462	68118876
840	49413002	68097111
841	49538100	68129596
842	49652857	68147516
843	49774395	68174409
844	49885141	68186199
845	49997421	68199792
846	50121536	68229198
847	50191868	68185180
848	50308040	68203244
849	50437101	68238430
850	50550851	68252559
851	50650050	68246782
852	50753264	68246183
853	50889851	68290128
854	51034085	68343892
855	51185802	68407194
856	51308783	68431667
857	51432325	68456545
858	51545898	68467835
859	51649200	68465219
860	51764768	68478595
861	51879604	68490707
862	52023492	68540800
863	52122406	68531312
864	52236957	68542135
865	52350251	68551021
866	52471591	68570141
867	52584730	68578242
868	52614832	68477992
869	52626546	68354019
870	52741506	68364133
871	52859436	68377803
872	52970577	68382406
873	53096062	68405224
874	53240932	68452626
875	53349262	68452707
876	53474179	68473778
877	53594813	68489044
878	53728087	68520120
879	53877397	68571233
880	54050397	68651980
881	54089227	68562081
882	54211178	68577447
883	54340498	68601806
884	54407610	68547441
885	54507090	68533745
886	54522532	68414406
887	54637325	68419713
888	54813958	68502034
889	54938450	68518742
890	55064286	68536806
891	55177002	68538249
892	55292808	68543269
893	55414294	68555043
894	55527933	68556834
895	55685349	68612306
896	55807667	68624144
897	55907132	68607638
898	56021988	68609798
899	56160173	68640212
900	56295193	68666390
901	56423794	68684397
902	56566536	68719258
903	56685350	68724716
904	56809438	68736281
905	56925834	68738259
906	57049484	68748717
907	57172063	68757592
908	57328344	68806627
909	57446863	68809979
910	57560212	68806883
911	57681728	68813290
912	57793519	68807837
913	57911686	68809727
914	58034813	68817238
915	58146284	68810668
916	58269159	68817338
917	58365023	68791890
918	58403182	68698411
919	58520081	68697486
920	58627483	68685184
921	58739095	68677597
922	58853331	68672847
923	58969234	68669800
924	59086952	68668620
925	59234651	68701960
926	59347694	68694796
927	59410259	68629092
928	59524396	68622851
929	59642370	68620791
930	59767099	68626239
931	59899438	68640128
932	60023532	68644275
933	60143446	68643377
934	60266374	68645656
935	60376622	68633254
936	60494876	68629727
937	60532499	68534664
938	60644877	68524190
939	60773081	68531347
940	60887945	68523202
941	60997586	68508966
942	61028896	68406727
943	61149805	68404866
944	61268511	68400295
945	61381856	68389510
946	61502156	68386241
947	61621964	68382179
948	61751921	68389114
949	61876709	68390046
950	62016180	68406912
951	62136993	68402908
952	62253174	68393571
953	62369040	68383665
954	62492855	68382234
955	62611863	68375298
956	62726208	68363046
957	62789616	68295177
958	62827691	68199819
959	62992766	68242163
960	63116759	68239659
961	63153283	68142524
962	63285286	68148330
963	63385486	68119672
964	63462863	68066386
965	63589543	68065825
966	63718433	68067364
967	63877413	68100713
968	64000282	68095243
969	64110772	68076387
970	64229314	68065874
971	64369955	68078512
972	64490406	68069524
973	64620542	68070510
974	64751771	68072375
975	64863754	68053774
976	64898740	67954362
977	65017864	67943003
978	65141141	67935756
979	65206592	67868086
980	65238933	67766027
981	65320497	67715138
982	65444086	67707666
983	65566292	67698529
984	65720460	67722099
985	65827555	67696898
986	65939365	67676370
987	66060500	67665209
988	66175925	67647988
989	66287735	67626881
990	66391815	67597720
991	66502406	67575025
992	66612269	67551415
993	66724179	67529703
994	66837953	67509691
995	66946077	67483797
996	67056458	67460007
997	67176363	67445607
998	67326688	67461477
999	67447583	67447583
1000	67566280	67431283
1001	67680096	67409916
1002	67752194	67346897
