iter	RMSE
267	3.453494348
268	3.453410103
269	3.453207118
270	3.452943934
271	3.45283567
272	3.452605235
273	3.452357729
274	3.452232809
275	3.45183402
276	3.451304976
277	3.451062888
278	3.450672294
279	3.45056432
280	3.450444837
281	3.450375243
282	3.45021319
283	3.448867219
284	3.44707687
285	3.446753387
286	3.446454315
287	3.446294238
288	3.439470871
289	3.439361113
290	3.437761646
291	3.437588986
292	3.437444925
293	3.437217685
294	3.437026846
295	3.436624544
296	3.430469234
297	3.430243196
298	3.429623089
299	3.429241327
300	3.428888666
301	3.428748699
302	3.428685822
303	3.427771508
304	3.427552351
305	3.427277526
306	3.427119415
307	3.427038293
308	3.426250257
309	3.425961075
310	3.425740798
311	3.425390178
312	3.425299365
313	3.425108836
314	3.424912098
315	3.423471873
316	3.423379951
317	3.422597106
318	3.422159025
319	3.42205037
320	3.416420211
321	3.41619139
322	3.416002542
323	3.415903393
324	3.415795401
325	3.415719313
326	3.414962376
327	3.414435451
328	3.414312297
329	3.409230071
330	3.40904418
331	3.408845593
332	3.408322613
333	3.407684427
334	3.407560789
335	3.407381531
336	3.406717977
337	3.406241791
338	3.405775282
339	3.405575406
340	3.40548537
341	3.40505558
342	3.404883002
343	3.404793827
344	3.404680051
345	3.404434828
346	3.403773607
347	3.399135541
348	3.398885632
349	3.398213109
350	3.398103894
351	3.39780104
352	3.397692951
353	3.397563974
354	3.397509267
355	3.39728943
356	3.397225862
357	3.397131349
358	3.396964497
359	3.396886196
360	3.396728666
361	3.396563034
362	3.395637955
363	3.39116744
364	3.390958398
365	3.390820359
366	3.389513463
367	3.389279213
368	3.389184453
369	3.388911601
370	3.388765522
371	3.388544792
372	3.388345232
373	3.387883134
374	3.387792
375	3.387672147
376	3.387405915
377	3.387329179
378	3.387255561
379	3.385294364
380	3.385080923
381	3.384924409
382	3.38473888
383	3.384581961
384	3.380643307
385	3.380085782
386	3.380039686
387	3.378486078
388	3.377896318
389	3.377743548
390	3.377670371
391	3.376267118
392	3.376062358
393	3.375897257
394	3.375160291
395	3.374946385
396	3.374443015
397	3.373986521
398	3.372305954
399	3.372188226
400	3.371951269
401	3.371795161
402	3.371727716
403	3.37166714
404	3.371497463
405	3.370268345
406	3.370174711
407	3.370006726
408	3.366237703
409	3.365714369
410	3.364602721
411	3.364400633
412	3.363942652
413	3.363743617
414	3.363518619
415	3.363452358
416	3.363343678
417	3.363261636
418	3.362557105
419	3.362280798
420	3.36083788
421	3.360774376
422	3.360572173
423	3.357262571
424	3.356988894
425	3.356763662
426	3.356621475
427	3.356480835
428	3.356277442
429	3.356064155
430	3.355962063
431	3.355877118
432	3.354905773
433	3.354505834
434	3.354462063
435	3.354314921
436	3.354180625
437	3.354103746
438	3.353975252
439	3.353796092
440	3.353661292
441	3.352782897
442	3.349586666
443	3.349337627
444	3.348866769
445	3.34873321
446	3.34860834
447	3.348448507
448	3.347654186
449	3.347528496
450	3.347328919
451	3.347284415
452	3.347074879
453	3.346993656
454	3.346877597
455	3.346732965
456	3.346684407
457	3.346589662
458	3.346409942
459	3.346173899
460	3.346097181
461	3.345933725
462	3.345761412
463	3.345368762
464	3.345314376
465	3.344096853
466	3.343888091
467	3.343768583
468	3.340961816
469	3.340674171
470	3.33997888
471	3.339629338
472	3.339401506
473	3.339312397
474	3.339197721
475	3.339117001
476	3.338767811
477	3.337133238
478	3.337093943
479	3.334374397
480	3.333860803
481	3.333565309
482	3.333332527
483	3.33272005
484	3.332559451
485	3.332433366
486	3.332129121
487	3.332053558
488	3.331849599
489	3.33179448
490	3.33141317
491	3.331318073
492	3.331099109
493	3.33096045
494	3.328569561
495	3.328356566
496	3.328014829
497	3.327929378
498	3.327807904
499	3.327703527
500	3.327648878
501	3.326216593
502	3.325762904
503	3.3254298
504	3.32442295
505	3.324308708
506	3.324130914
507	3.323821902
508	3.323632131
509	3.323538481
510	3.323365672
511	3.322956735
512	3.322624325
513	3.322546484
514	3.322460364
515	3.322392306
516	3.322304294
517	3.32214703
518	3.321910297
519	3.321001568
520	3.320882447
521	3.320800952
522	3.320652841
523	3.320542736
524	3.318363253
525	3.318022184
526	3.317858431
527	3.317557053
528	3.317391883
529	3.317310899
530	3.315780646
531	3.315659318
532	3.315606536
533	3.315495093
534	3.313490993
535	3.313420474
536	3.313385137
537	3.313262423
538	3.313025683
539	3.31297388
540	3.312901396
541	3.312835333
542	3.312762822
543	3.312522411
544	3.312089177
545	3.31172462
546	3.311227715
547	3.311096458
548	3.311018272
549	3.310607084
550	3.310281426
551	3.310124906
552	3.309973655
553	3.307959899
554	3.307627498
555	3.307473517
556	3.307406145
557	3.307133269
558	3.307051494
559	3.306990048
560	3.306911992
561	3.306709956
562	3.303646121
563	3.303508877
564	3.303447853
565	3.30335304
566	3.303232588
567	3.303112004
568	3.303027146
569	3.302918316
570	3.301052146
571	3.300749607
572	3.300483986
573	3.300111965
574	3.30001214
575	3.299896849
576	3.299591522
577	3.299376354
578	3.299162746
579	3.299052993
580	3.298974216
581	3.298697786
582	3.298524496
583	3.298469238
584	3.298425703
585	3.296829489
586	3.296711184
587	3.296547141
588	3.296269475
589	3.296140121
590	3.295455337
591	3.295203491
592	3.295020877
593	3.294778046
594	3.294693188
595	3.294630719
596	3.294572438
597	3.294263805
598	3.294203479
599	3.293816365
600	3.293756423
601	3.293549321
602	3.293337447
603	3.293188088
604	3.293118397
605	3.292535503
606	3.292243617
607	3.28969825
608	3.288053277
609	3.287806232
610	3.287496583
611	3.287378946
612	3.287193992
613	3.28695102
614	3.286426965
615	3.286163224
616	3.28610784
617	3.285873266
618	3.285742411
619	3.283837512
620	3.283797165
621	3.283695148
622	3.282307512
623	3.282062237
624	3.281824638
625	3.281686699
626	3.281576952
627	3.281475407
628	3.281410568
629	3.278853915
630	3.278372773
631	3.278142319
632	3.277968644
633	3.277294288
634	3.277062334
635	3.276623857
636	3.274902508
637	3.274838632
638	3.274666496
639	3.274410212
640	3.274267365
641	3.274189677
642	3.274134494
643	3.273613855
644	3.273566936
645	3.273454175
646	3.273353693
647	3.273031984
648	3.273008488
649	3.272538168
650	3.272352756
651	3.272273148
652	3.272231325
653	3.271997801
654	3.271649991
655	3.271542204
656	3.27143742
657	3.271269352
658	3.271205292
659	3.270964658
660	3.270637649
661	3.270532956
662	3.270362821
663	3.270256492
664	3.26794482
665	3.267864028
666	3.267836746
667	3.267573945
668	3.267259819
669	3.265706618
670	3.265422533
671	3.264019563
672	3.263776467
673	3.263513769
674	3.263463433
675	3.263387791
676	3.263179713
677	3.26307653
678	3.262847925
679	3.262612664
680	3.262540593
681	3.262498658
682	3.260572169
683	3.259139851
684	3.259040333
685	3.257821675
686	3.257589608
687	3.25737744
688	3.256103234
689	3.255951796
690	3.255522959
691	3.255492667
692	3.255234929
693	3.255142418
694	3.255099691
695	3.254176396
696	3.252434465
697	3.252163413
698	3.252109229
699	3.251927199
700	3.251722717
701	3.250569005
702	3.25047794
703	3.250347234
704	3.250153975
705	3.249825597
706	3.249463929
707	3.249336628
708	3.24928177
709	3.249229
710	3.249043517
711	3.248970081
712	3.248890659
713	3.247848835
714	3.247594174
715	3.247499258
716	3.246558431
717	3.244978819
718	3.244758939
719	3.24452448
720	3.243098005
721	3.241868191
722	3.241602894
723	3.240750189
724	3.240692323
725	3.240550011
726	3.240280025
727	3.240049904
728	3.239957229
729	3.239888029
730	3.239834728
731	3.23977508
732	3.239005634
733	3.238979145
734	3.238759877
735	3.238363611
736	3.2372383
737	3.237023177
738	3.236833203
739	3.236136822
740	3.235919864
741	3.235832552
742	3.235629785
743	3.234344119
744	3.23339116
745	3.233303347
746	3.233271298
747	3.233094791
748	3.233024152
749	3.23287795
750	3.232705206
751	3.232493145
752	3.232287714
753	3.232239081
754	3.232195249
755	3.232168754
756	3.232095243
757	3.232009946
758	3.231936178
759	3.231835807
760	3.231667455
761	3.231498975
762	3.231413179
763	3.231152419
764	3.230970058
765	3.230831368
766	3.230738673
767	3.230518987
768	3.230485813
769	3.230447111
770	3.230366712
771	3.230342316
772	3.230299798
773	3.230149655
774	3.229976806
775	3.229363287
776	3.229204086
777	3.229113539
778	3.228989466
779	3.228965527
780	3.228888144
781	3.228838346
782	3.228763626
783	3.228656975
784	3.227903687
785	3.227878358
786	3.227574001
787	3.22722118
788	3.227166245
789	3.226928497
790	3.226820025
791	3.226739705
792	3.226660574
793	3.226618238
794	3.225466033
795	3.225418528
796	3.225115323
797	3.224948778
798	3.224925011
799	3.223884233
800	3.222908015
801	3.22282897
802	3.222278719
803	3.222215718
804	3.222064874
805	3.221889042
806	3.221746817
807	3.221689808
808	3.221436507
809	3.22082625
810	3.220724199
811	3.2205859
812	3.220507828
813	3.220388804
814	3.220219174
815	3.220067749
816	3.219994558
817	3.219906191
818	3.219823772
819	3.21976503
820	3.219318503
821	3.219244158
822	3.219011528
823	3.218918729
824	3.218768498
825	3.218694015
826	3.218651917
827	3.218516286
828	3.217965683
829	3.21792756
830	3.217872921
831	3.217736569
832	3.217581331
833	3.21752752
834	3.217455974
835	3.217387877
836	3.217369044
837	3.217310801
838	3.21705879
839	3.216986066
840	3.216487995
841	3.216364492
842	3.21632991
843	3.215805625
844	3.215344478
845	3.215233818
846	3.214993397
847	3.214501073
848	3.214453616
849	3.214331222
850	3.214295395
851	3.213713579
852	3.213509399
853	3.213360596
854	3.213147735
855	3.212920333
856	3.21212715
857	3.211963916
858	3.211937387
859	3.211729903
860	3.211676225
861	3.211576378
862	3.21150726
863	3.211439243
864	3.211366503
865	3.211181523
866	3.210751342
867	3.210468585
868	3.210374709
869	3.210339751
870	3.210272555
871	3.210209867
872	3.209828716
873	3.209638255
874	3.20892089
875	3.208786035
876	3.208557338
877	3.208520494
878	3.208258261
879	3.208182411
880	3.208130384
881	3.20792974
882	3.20782817
883	3.207740572
884	3.207619481
885	3.207473349
886	3.207435753
887	3.207243542
888	3.207170562
889	3.207111463
890	3.207034426
891	3.206837054
892	3.206806138
893	3.206742254
894	3.206675425
895	3.206497165
896	3.206467582
897	3.206403186
898	3.206328126
899	3.206046873
900	3.205986638
901	3.205898778
902	3.205765725
903	3.205731152
904	3.205618388
905	3.205593753
906	3.205542391
907	3.205421671
908	3.205256699
909	3.205111279
910	3.205026715
911	3.204877006
912	3.204834767
913	3.204667727
914	3.204583278
915	3.204523689
916	3.204347273
917	3.204105752
918	3.203893935
919	3.203788095
920	3.203660941
921	3.203137608
922	3.202902171
923	3.202791348
924	3.202687337
925	3.202628549
926	3.202570229
927	3.202511795
928	3.202320158
929	3.202040666
930	3.20190962
931	3.201859417
932	3.201810291
933	3.201685003
934	3.201634529
935	3.20155626
936	3.201303168
937	3.20120024
938	3.20104313
939	3.200830339
940	3.199898626
941	3.199765038
942	3.199726101
943	3.199603783
944	3.19957086
945	3.199324134
946	3.199166029
947	3.199083491
948	3.199062147
949	3.198959834
950	3.198854451
951	3.198709193
952	3.198663707
953	3.198618143
954	3.198512002
955	3.198370348
956	3.198298436
957	3.19819679
958	3.198134216
959	3.197970266
960	3.197843325
961	3.197762129
962	3.197690713
963	3.197637223
964	3.197520195
965	3.197439172
966	3.197373498
967	3.19729691
968	3.196454919
969	3.196307141
970	3.196272321
971	3.196105145
972	3.196049466
973	3.195984196
974	3.195943082
975	3.19587098
976	3.195833325
977	3.195799556
978	3.195719898
979	3.195529855
980	3.195466204
981	3.195384639
982	3.195283445
983	3.195225915
984	3.195059152
985	3.194732826
986	3.194561239
987	3.194432793
988	3.193992117
989	3.193875081
990	3.193397203
991	3.193242281
992	3.192843719
993	3.192662526
994	3.192522641
995	3.192472189
996	3.192413366
997	3.192353866
998	3.191721693
999	3.191461598
